state,year,dr_customers,dr_energy_savings_mwh,dr_potential_peak_mw,dr_actual_peak_mw,dr_customer_incentives_kusd,dr_other_costs_kusd,summer_peak_mw,winter_peak_mw,sales_to_ultimate_customers_mwh,sales_total_revenue_kusd,sales_total_mwh,sales_total_customers,summer_peak_per_mwh,winter_peak_per_mwh,dr_actual_peak_share_of_summer_peak,dr_potential_peak_share_of_summer_peak,log_sales_total_mwh,log_summer_peak_mw,log_dr_actual_peak_mw
NV,2015,75603.0,25852.0,214.7,169.20000000000002,1667.0,14407.0,,,,3412921.9,38324997.0,1290405.0,,,,,17.461612904444262,,5.131081447172123
NV,2016,80482.0,27769.0,226.9,142.9,2436.0,14331.0,,,,3030715.4,38785071.0,1308927.0,,,,,17.473545962510048,,4.9621450849358215
NV,2017,85160.0,34712.0,247.1,229.2,1768.0,17556.0,,,,3211681.6999999997,40512903.0,1429918.0,,,,,17.517131073929516,,5.434594984840585
NV,2018,90179.0,32509.0,205.9,188.8,1734.0,17911.0,,,,3277128.4,42598368.0,1352118.0,,,,,17.5673265006466,,5.240688253711401
NV,2019,79770.0,31648.0,176.4,168.0,1282.18,12696.759999999998,,,,3247118.2,41527176.0,1375922.0,,,,,17.541858614258057,,5.123963979403259
NV,2020,76580.0,25399.0,181.79999999999998,179.0,1351.2,10165.4,,,,3186540.1,43303597.0,1399659.0,,,,,17.583746261115998,,5.187385805840755
NV,2021,80306.0,27948.0,188.29999999999998,174.0,1186.5,10287.4,,,,3350816.1999999997,43785637.0,1424415.0,,,,,17.594816399193945,,5.159055299214529
NV,2022,86812.0,27215.0,168.39999999999998,141.8,1217.3,13017.0,8767.0,4819.2,34141611.0,4301693.6,45636761.0,1447507.0,0.0001921039050076319,0.00010559908053071514,0.016174289950952436,0.019208395118056346,17.63622411199104,9.078749951588586,4.954417614098027
NV,2023,86812.0,36621.0,174.1,154.1,1918.16,14262.81,8901.4,4636.5,32729399.0,5006069.0,44646878.0,1467536.0,0.00019937340299583769,0.0001038482466791967,0.017311883523940055,0.019558721100051676,17.61429494122961,9.09396384672014,5.03760174232607
NY,2015,54070.0,8.0,522.5,45.4,16510.0,10740.0,,,,22747297.4,227426278.0,9807896.0,,,,,19.24233669109159,,3.8155121050473024
NY,2016,54709.0,12788.0,968.1,887.0000000000001,47838.0,13733.0,,,,21387763.4,225175587.0,9839893.0,,,,,19.23239104249201,,6.787844982309579
NY,2017,39471.0,665.0,655.6,508.90000000000003,4487.0,4839.0,,,,21366152.0,220948992.0,9829298.0,,,,,19.21344242741249,,6.232251533594787
NY,2018,85544.0,14301.0,813.5,701.4,56205.0,15151.0,,,,22233054.2,226567745.0,9755731.0,,,,,19.23855455309013,,6.5530783377060775
NY,2019,94139.0,5825.854,795.0029999999999,601.9409999999999,53617.624,11407.301,,,,20883531.1,218100779.0,9765678.0,,,,,19.200467802921555,,6.4001594338613375
NY,2020,80977.0,5755.682,871.957,657.097,31889.0,4180.9,,,,20872148.1,206728183.0,9727405.0,,,,,19.14691536272087,,6.487831648378258
NY,2021,101582.0,22235.152,792.706,628.094,32919.052,5172.642,,,,22782820.4,207288942.0,9649389.0,,,,,19.149624233002033,,6.442689836795699
NY,2022,123689.0,15028.695,798.359,665.6410000000001,39979.201,6033.306,44613.2,33403.5,120801044.0,26245822.4,207776907.0,9594650.0,0.00021471683568761565,0.0001607661817778431,0.014920270233921801,0.01789512969255736,19.151975499558816,10.705785058344974,6.500750486167578
NY,2023,157869.0,9287.623,1246.362,1119.948,40509.795,6681.858,42607.0,34392.8,119408404.0,25482034.8,201563180.0,9519147.0,0.0002113828527611045,0.00017063037009041037,0.026285539934752508,0.029252517192010705,19.121613438592085,10.659773838007359,7.021037534639873
OH,2015,226036.0,1829.0,887.0999999999999,252.5,31627.0,2178.0,,,,14885537.2,246558720.0,8093722.0,,,,,19.32311073808847,,5.531411248715415
OH,2016,188435.0,2884.0,835.4,57.7,3908.0,2049.0,,,,14825054.6,251859550.0,8089473.0,,,,,19.34438214883348,,4.055257173514054
OH,2017,127318.0,1876.0,671.0,42.5,24042.0,273.0,,,,14433075.2,248080010.0,8203222.0,,,,,19.329261873066045,,3.7495040759303713
OH,2018,166921.0,4046.0,621.0,64.2,35210.0,972.0,,,,15202979.8,259001548.0,8373204.0,,,,,19.372344596479927,,4.162003210695915
OH,2019,122406.0,2547.1090000000004,1176.961,659.244,33159.685,246.57999999999998,,,,14229116.0,251438719.0,8400481.0,,,,,19.34270985578582,,6.4910937239405575
OH,2020,168394.0,2636.143,732.486,648.254,26114.105,998.8,,,,13459729.3,240972424.0,8469355.0,,,,,19.300193061671578,,6.474282594858664
OH,2021,122706.0,2444.4069999999997,669.878,651.182,28538.739,287.85,,,,14423860.2,251623586.0,8623467.0,,,,,19.343444822435018,,6.478789173028662
OH,2022,123120.0,2705.0130000000004,665.655,659.153,27727.733,284.1,68100.2,58193.0,150346588.0,15906229.2,242017967.0,8476515.0,0.00028138489403970574,0.00024044909029419291,0.00967916393784453,0.009774640896796192,19.30452252516668,11.128735428990854,6.490955677509711
OH,2023,123254.0,1442.087,670.927,670.683,31307.293,185.212,65145.8,60106.8,142685831.0,16187373.1,241850932.0,8529719.0,0.0002693634440904284,0.0002485282959339599,0.01029510728243417,0.010298852727267145,19.303832110854124,11.084383113859428,6.508296596131709
OK,2015,9442.0,16798.0,606.8,455.3,12534.0,16651.0,,,,4845986.7,61336385.0,2020012.0,,,,,17.931883781102172,,6.120956542340736
OK,2016,18274.0,3805.0,750.3,626.8,10158.0,5617.0,,,,4814110.1,61516554.0,2033942.0,,,,,17.93481686728851,,6.440627510481866
OK,2017,134251.0,27888.0,390.20000000000005,241.8,7030.0,4512.0,,,,4962910.1,60492128.0,2051083.0,,,,,17.91802379883281,,5.488110938180692
OK,2018,110963.0,29394.0,369.4,227.3,14883.0,4319.0,,,,5224240.100000001,64575316.0,2066555.0,,,,,17.983342790468853,,5.426270730858498
OK,2019,134365.0,11292.075,316.778,185.442,3884.961,1224.953,,,,5092298.9,64795946.0,2082702.0,,,,,17.98675359763704,,5.222742164692902
